79
00	序章　鲁内斯陷落
01	1章　逃跑
02	2章　应该保护的东西
03	3章　波尔哥岭的山贼
04	4章　异行
05	5章外传　不可动摇的心
06	5章　帝国之影
07	阿德拉斯平原
08	7章　水城雷巴尔
09	8章　陷阱，还有
0A	9章　背后的刀刃
0B	缇拉萨高原
0C	12章　静寂之村
0D	13章　巴米尔溪谷
0E	14章　白沙之女王
0F	15章　灼热的黄砂
10	16章　荒废的王都
11	大河纳鲁巴
12	火山奈雷拉斯
13	19章　残存的希望
14	20章　暗之树海
15	终章　圣魔之光石1(女主角)
16	终章　圣魔之光石2(女主角)
17	9章　利哥巴鲁特要塞
18	港町巴斯罗恩
19	12章　登陆，塔塞尔海港
1A	萨卢布尔湿原
1B	14章　父与子
1C	15章　灼热之黄砂
1D	16章　荒废的王都
1E	17章　诀别的大河
1F	18章　魔的两面
20	19章　残存的希望
21	20章　暗之树海
22	终章　圣魔之光石1(男主角)
23	终章　圣魔之光石2(男主角)
24	威鲁尼之塔　第1层
25	威鲁尼之塔　第2层
26	威鲁尼之塔　第3层
27	威鲁尼之塔　第4层
28	威鲁尼之塔　第5层
29	威鲁尼之塔　第6层
2A	威鲁尼之塔　第7层
2B	威鲁尼之塔　第8层
2C	威鲁尼之塔　第9层
2D	威鲁尼之塔　第10层
2E	拉格特遗迹　1层
2F	拉格特遗迹　2层
30	拉格特遗迹　3层
31	拉格特遗迹　4层
32	拉格特遗迹　5层
33	拉格特遗迹　6层
34	拉格特遗迹　7层
35	拉格特遗迹　8层
36	拉格特遗迹　9层
37	拉格特遗迹　10层
38	？？？
39	某海岸
3A	通信斗技场
3B	？？？
3C	Debug
3D	11章　蔓延的黑暗(女主角)
3E	11章　蔓延的黑暗(男主角)
3F	？？？
40	？？？
41	？？？
42	？？？
43	？？？
44	？？？
45	？？？
46	？？？
47	？？？
48	？？？
49	？？？
4A	？？？
4B	？？？
4C	？？？
4D	？？？
4E	？？？
