255
00	无
01	艾瑞珂
02	塞思
03	吉利安姆
04	弗朗茨
05	摩达
06	瓦内萨
07	罗斯
08	梅米
09	科曼
0A	加西亚
0B	希尼亚斯
0C	露忒
0D	娜塔莎
0E	库格
0F	伊弗列姆
10	弗鲁迪
11	凯尔
12	阿米莉娅
13	阿斯雷
14	杰斯特
15	特缇斯
16	玛莉卡
17	塞勒夫
18	尤恩
19	拉切尔
1A	多兹拉
1C	雷纳克
1D	杜塞尔
1E	梅尔
1F	诺鲁
20	约书亚
21	西蕾尼
22	塔娜
23	利昂
24	奥尔森
25	格伦
26	塞莱娜
27	沃尔塔
28	阿维
29	凯瑟达
2A	法德
2B	依修梅娅
2C	海登
2D	对战对手
2E	对战对手
2F	对战对手
30	对战对手
31	对战对手
32	对战对手
33	对战对手
34	对战对手
35	对战对手
36	对战对手
37	对战对手
38	对战对手
39	对战对手
3A	对战对手
3B	亡灵战士
3C	塞门
3D	萨玛南
3E	亡灵战士
3F	亡灵战士
40	利昂(魔)
41	穆尔瓦
42	奥尔森
43	沃尔塔
44	塞莱娜
45	沃尔塔
46	普利肯
47	波恩
48	帕滋帕
49	魔物
4A	萨尔
4B	诺贝拉
4C	马莱
4D	迪拉德
4E	西克斯
4F	巴勃罗
50	魔物
51	艾阿斯
52	卡莱尔
53	凯瑟达
54	巴勃罗
55	对战对手
56	魔物
57	阿维
58	对战对手
59	对战对手
5A	肯普
5B	贝鲁奈
5C	魔物
5D	魔物
5E	魔物
5F	魔物
60	对战对手
61	对战对手
62	对战对手
63	对战对手
64	宝物狂人
65	无赖
66	无赖
67	无赖
68	奥尼尔
69	格伦
6A	松克
6B	彼加尔德
6C	利昂(魔)
6D	奥尔森(狂)
6E	对战对手
6F	对战对手
70	对战对手
71	对战对手
72	对战对手
73	对战对手
74	对战对手
75	对战对手
76	对战对手
77	对战对手
78	对战对手
79	对战对手
7A	对战对手
7B	对战对手
7C	对战对手
7D	对战对手
7E	对战对手
7F	古拉德兵
80	古拉德兵
81	古拉德兵
82	古拉德兵
83	古拉德兵
84	古拉德兵
85	古拉德兵
86	古拉德兵
87	古拉德兵
88	古拉德兵
89	古拉德兵
8A	古拉德兵
8B	古拉德兵
8C	古拉德兵
8D	古拉德残部
8E	帕滋帕团
8F	古拉德残部
90	古拉德残部
91	古拉德残部
92	对战对手
93	对战对手
94	对战对手
95	对战对手
96	对战对手
97	对战对手
98	对战对手
99	对战对手
9A	对战对手
9B	对战对手
9C	对战对手
9D	对战对手
9E	对战对手
9F	对战对手
A0	对战对手
A1	对战对手
A2	对战对手
A3	对战对手
A4	对战对手
A5	对战对手
A6	对战对手
A7	西克斯队
A8	卡尔奇诺兵
A9	巴勃罗私兵
AA	魔物
AB	魔物
AC	魔物
AD	魔物
AE	魔物
AF	魔物
B0	魔物
B1	魔物
B2	魔物
B3	魔物
B4	魔物
B5	魔物
B6	魔物
B7	魔物
B8	魔物
B9	魔物
BA	魔物
BB	魔物
BC	魔物
BD	魔物
BE	弗德斯
BF	对战对手
C0	弗雷利亚兵
C1	弗雷利亚兵
C2	对战对手
C3	对战对手
C4	对战对手
C5	法德
C6	对战对手
C7	海登
C8	曼塞尔
C9	克利姆德
CA	塔拉
CB	依修梅娅
CC	天马传令兵
CD	罗斯顿兵
CE	罗斯顿兵
CF	对战对手
D0	对战对手
D1	对战对手
D2	对战对手
D3	对战对手
D4	对战对手
D5	对战对手
D6	对战对手
D7	对战对手
D8	对战对手
D9	对战对手
DA	对战对手
DB	对战对手
DC	对战对手
DD	对战对手
DE	对战对手
DF	对战对手
E0	对战对手
E1	对战对手
E2	对战对手
E3	对战对手
E4	对战对手
E5	对战对手
E6	对战对手
E7	对战对手
E8	对战对手
E9	对战对手
EA	对战对手
EB	对战对手
EC	对战对手
ED	对战对手
EE	对战对手
EF	对战对手
F0	对战对手
F1	对战对手
F2	对战对手
F3	对战对手
F4	纳露贝住民
F5	纳露贝住民
F6	纳露贝住民
F7	纳露贝住民
F8	纳露贝住民
F9	鲁内斯住民
FA	鲁内斯住民
FB	鲁内斯住民
FC	市民
FD	对战对手
FE	损坏的墙壁
FF	古树
